"code","name","country_id:id","short_code"
"01","Amazonas","Venezuela","AMA"
"02","Anzoátegui","Venezuela","ANZ"
"03","Apure","Venezuela","APU"
"04","Aragua","Venezuela","ARA"
"05","Barinas","Venezuela","BAR"
"06","Bolívar","Venezuela","BOL"
"07","Carabobo","Venezuela","CAR"
"08","Cojedes","Venezuela","COJ"
"09","Delta Amacuro","Venezuela","DAM"
"10","Distrito Capital","Venezuela","DCA"
"11","Falcón","Venezuela","FAL"
"12","Guárico","Venezuela","GUA"
"13","Lara","Venezuela","LAR"
"14","Mérida","Venezuela","MER"
"15","Miranda","Venezuela","MIR"
"16","Monagas","Venezuela","MON"
"17","Nueva Esparta","Venezuela","NES"
"18","Portuguesa","Venezuela","POR"
"19","Sucre","Venezuela","SUC"
"20","Táchira","Venezuela","TAC"
"21","Trujillo","Venezuela","TRU"
"22","Vargas","Venezuela","VAR"
"23","Yaracuy","Venezuela","YAR"
"24","Zulia","Venezuela","ZUL"
